Transaction_ID,Customer_Name,Region,Sales_Amount,Purchase_Date
TXN-1000,Bob Brown,West,150.5,2026-01-15
TXN-1001,,East,200.0,2026-04-01
TXN-1002,Alice Johnson,West,200.0,2026-01-01
TXN-1003,,East,1200.0,2026-01-15
TXN-1004,,South,89.99,2026-01-01
TXN-1005,Jane Smith,East,200.0,2026-01-01
TXN-1006,Alice Johnson,East,200.0,2026-01-01
TXN-1007,Alice Johnson,West,200.0,2026-01-01
TXN-1008,Alice Johnson,West,1200.0,2026-01-01
TXN-1009,,North,450.75,2026-04-01
TXN-1010,Bob Brown,North,200.0,2026-01-01
TXN-1011,Alice Johnson,South,450.75,2026-01-01
TXN-1012,Charlie Green,North,89.99,2026-01-01
TXN-1013,,East,200.0,2026-01-01
TXN-1014,Jane Smith,West,200.0,2026-01-01
TXN-1015,Bob Brown,North,200.0,2026-01-01
TXN-1016,Charlie Green,North,200.0,2026-01-01
TXN-1017,Charlie Green,South,150.5,2026-01-01
TXN-1018,Jane Smith,,1200.0,2026-01-01
TXN-1019,Bob Brown,South,1200.0,2026-04-01
TXN-1020,,East,450.75,2026-01-15
TXN-1021,John Doe,West,89.99,2026-01-01
TXN-1022,Bob Brown,South,200.0,2026-01-01
TXN-1023,Jane Smith,North,150.5,2026-01-15
TXN-1024,Charlie Green,West,450.75,2026-01-15
TXN-1025,,West,200.0,2026-01-15
TXN-1026,Bob Brown,North,450.75,2026-04-01
TXN-1027,John Doe,South,450.75,2026-01-01
TXN-1028,John Doe,North,200.0,2026-04-01
TXN-1029,Alice Johnson,,200.0,2026-01-01
TXN-1030,Alice Johnson,West,450.75,2026-04-01
TXN-1031,Jane Smith,North,150.5,2026-04-01
TXN-1032,Bob Brown,North,150.5,2026-01-01
TXN-1033,Bob Brown,East,1200.0,2026-04-01
TXN-1034,Charlie Green,North,200.0,2026-01-01
TXN-1035,Charlie Green,North,200.0,2026-01-01
TXN-1036,Charlie Green,East,1200.0,2026-04-01
TXN-1037,Alice Johnson,East,450.75,2026-01-15
TXN-1038,Bob Brown,East,200.0,2026-01-01
TXN-1039,Bob Brown,West,150.5,2026-01-01
TXN-1040,John Doe,,150.5,2026-01-01
TXN-1041,Alice Johnson,North,200.0,2026-01-01
TXN-1042,,West,200.0,2026-04-01
TXN-1043,Alice Johnson,East,450.75,2026-04-01
TXN-1044,,North,1200.0,2026-01-15
TXN-1045,John Doe,West,1200.0,2026-01-15
TXN-1046,Jane Smith,,450.75,2026-01-01
TXN-1047,Bob Brown,West,89.99,2026-01-15
TXN-1048,John Doe,,200.0,2026-01-01
TXN-1049,Bob Brown,East,200.0,2026-04-01
TXN-1050,Charlie Green,,1200.0,2026-01-01
TXN-1051,Jane Smith,North,200.0,2026-01-15
TXN-1052,Jane Smith,East,200.0,2026-01-01
TXN-1053,John Doe,North,200.0,2026-01-01
TXN-1054,Jane Smith,North,89.99,2026-01-15
TXN-1055,,South,150.5,2026-04-01
TXN-1056,Jane Smith,,200.0,2026-01-15
TXN-1057,Bob Brown,South,1200.0,2026-01-01
TXN-1058,Bob Brown,South,200.0,2026-01-15
TXN-1059,Bob Brown,,200.0,2026-01-01
TXN-1060,Bob Brown,East,200.0,2026-01-15
TXN-1061,,North,200.0,2026-04-01
TXN-1062,Alice Johnson,North,200.0,2026-01-01
TXN-1063,Charlie Green,West,200.0,2026-01-15
TXN-1064,John Doe,North,150.5,2026-04-01
TXN-1065,Bob Brown,West,89.99,2026-04-01
TXN-1066,Jane Smith,North,450.75,2026-01-01
TXN-1067,Bob Brown,,200.0,2026-04-01
TXN-1068,Jane Smith,North,1200.0,2026-04-01
TXN-1069,Charlie Green,West,200.0,2026-04-01
TXN-1070,Charlie Green,East,1200.0,2026-04-01
TXN-1071,Charlie Green,North,200.0,2026-01-01
TXN-1072,Jane Smith,North,1200.0,2026-01-01
TXN-1073,Bob Brown,West,450.75,2026-01-01
TXN-1074,Charlie Green,East,150.5,2026-01-15
TXN-1075,,East,1200.0,2026-04-01
TXN-1076,Jane Smith,,1200.0,2026-01-15
TXN-1077,Jane Smith,,150.5,2026-01-15
TXN-1078,Bob Brown,,450.75,2026-01-01
TXN-1079,Jane Smith,,200.0,2026-04-01
TXN-1080,Jane Smith,,1200.0,2026-04-01
TXN-1081,Charlie Green,,150.5,2026-01-01
TXN-1082,Bob Brown,North,200.0,2026-01-15
TXN-1083,Charlie Green,East,150.5,2026-01-15
TXN-1084,Charlie Green,,200.0,2026-01-01
TXN-1085,Bob Brown,East,450.75,2026-01-01
TXN-1086,John Doe,East,200.0,2026-01-01
TXN-1087,Charlie Green,South,150.5,2026-01-01
TXN-1088,,North,89.99,2026-01-01
TXN-1089,,,89.99,2026-01-01
TXN-1090,Jane Smith,North,200.0,2026-01-01
TXN-1091,,West,1200.0,2026-01-01
TXN-1092,Jane Smith,North,450.75,2026-01-01
TXN-1093,John Doe,North,150.5,2026-01-15
TXN-1094,Bob Brown,West,89.99,2026-01-01
TXN-1095,Bob Brown,North,1200.0,2026-04-01
TXN-1096,Bob Brown,East,89.99,2026-01-01
TXN-1097,,West,150.5,2026-01-15
TXN-1098,John Doe,East,200.0,2026-01-15
TXN-1099,,North,150.5,2026-04-01
TXN-1100,,North,200.0,2026-04-01
TXN-1101,John Doe,West,150.5,2026-01-01
TXN-1102,John Doe,West,150.5,2026-01-01
TXN-1103,John Doe,,200.0,2026-01-01
TXN-1104,John Doe,North,450.75,2026-01-01
TXN-1105,Bob Brown,,150.5,2026-01-01
TXN-1106,Alice Johnson,North,200.0,2026-01-01
TXN-1107,Alice Johnson,,1200.0,2026-01-01
TXN-1108,John Doe,East,200.0,2026-01-01
TXN-1109,Alice Johnson,West,200.0,2026-01-01
TXN-1110,Alice Johnson,North,150.5,2026-01-01
TXN-1111,John Doe,North,450.75,2026-01-01
TXN-1112,Alice Johnson,North,450.75,2026-01-01
TXN-1113,,North,1200.0,2026-01-15
TXN-1114,Jane Smith,,150.5,2026-01-15
TXN-1115,Jane Smith,North,200.0,2026-01-01
TXN-1116,John Doe,East,450.75,2026-01-01
TXN-1117,Bob Brown,West,150.5,2026-01-01
TXN-1118,John Doe,North,89.99,2026-01-15
TXN-1119,Bob Brown,West,450.75,2026-04-01
TXN-1120,Jane Smith,North,200.0,2026-04-01
TXN-1121,John Doe,North,89.99,2026-01-01
TXN-1122,Charlie Green,North,450.75,2026-01-01
TXN-1123,,East,200.0,2026-01-15
TXN-1124,Alice Johnson,South,200.0,2026-01-01
TXN-1125,Bob Brown,North,89.99,2026-01-15
TXN-1126,Charlie Green,South,1200.0,2026-01-01
TXN-1127,Alice Johnson,,1200.0,2026-01-01
TXN-1128,Alice Johnson,South,200.0,2026-04-01
TXN-1129,John Doe,East,450.75,2026-01-01
TXN-1130,Alice Johnson,,150.5,2026-04-01
TXN-1131,,South,450.75,2026-01-01
TXN-1132,Charlie Green,,200.0,2026-04-01
TXN-1133,Alice Johnson,South,1200.0,2026-01-01
TXN-1134,John Doe,East,450.75,2026-01-01
TXN-1135,,South,1200.0,2026-01-01
TXN-1136,Jane Smith,South,89.99,2026-01-01
TXN-1137,Charlie Green,South,150.5,2026-01-15
TXN-1138,Alice Johnson,North,89.99,2026-01-01
TXN-1139,John Doe,North,1200.0,2026-01-01
TXN-1140,Jane Smith,North,1200.0,2026-01-01
TXN-1141,Jane Smith,East,200.0,2026-01-15
TXN-1142,Bob Brown,,200.0,2026-01-01
TXN-1143,,North,89.99,2026-01-01
TXN-1144,Alice Johnson,South,200.0,2026-01-01
TXN-1145,John Doe,South,89.99,2026-04-01
TXN-1146,Bob Brown,East,200.0,2026-01-01
TXN-1147,,South,1200.0,2026-04-01
TXN-1148,Bob Brown,North,200.0,2026-01-01
TXN-1149,Charlie Green,North,89.99,2026-01-01
TXN-1150,,West,1200.0,2026-01-01
TXN-1151,,South,200.0,2026-04-01
TXN-1152,Alice Johnson,North,200.0,2026-04-01
TXN-1153,,West,200.0,2026-01-01
TXN-1154,Bob Brown,North,89.99,2026-01-01
TXN-1155,,West,450.75,2026-01-01
TXN-1156,Alice Johnson,North,150.5,2026-04-01
TXN-1157,Alice Johnson,,200.0,2026-04-01
TXN-1158,Charlie Green,,200.0,2026-01-15
TXN-1159,Bob Brown,West,450.75,2026-04-01
TXN-1160,Jane Smith,East,150.5,2026-01-15
TXN-1161,Jane Smith,West,1200.0,2026-01-01
