Transaction_ID,Customer_Name,Region,Sales_Amount,Purchase_Date
TXN-1000,bob brown,WEST,150.5,2026-01-15
TXN-1001,,East,-50.0,2026-04-01
TXN-1002,Alice Johnson,WEST,-50.0,2026/03/10
TXN-1003,,East,1200.0,2026-01-15
TXN-1004,,south,89.99,2026/03/10
TXN-1005,JANE SMITH,East,200.0,
TXN-1006,Alice Johnson,East,200.0,02/20/2026
TXN-1007,Alice Johnson,WEST,-50.0,
TXN-1008,Alice Johnson,WEST,1200.0,
TXN-1009,, North ,450.75,2026-04-01
TXN-1010,bob brown, North ,200.0,02/20/2026
TXN-1011,Alice Johnson,south,450.75,
TXN-1012,  charlie green , North ,89.99,
TXN-1013,,East,200.0,02/20/2026
TXN-1014,JANE SMITH,WEST,200.0,02/20/2026
TXN-1015,bob brown, North ,,
TXN-1016,  charlie green , North ,200.0,02/20/2026
TXN-1017,  charlie green ,south,150.5,
TXN-1018,JANE SMITH,,1200.0,
TXN-1019,bob brown,south,1200.0,2026-04-01
TXN-1020,,East,450.75,2026-01-15
TXN-1021, john doe ,WEST,89.99,
TXN-1022,bob brown,south,200.0,2026/03/10
TXN-1023,JANE SMITH, North ,150.5,2026-01-15
TXN-1024,  charlie green ,WEST,450.75,2026-01-15
TXN-1025,,WEST,,2026-01-15
TXN-1026,bob brown, North ,450.75,2026-04-01
TXN-1027, john doe ,south,450.75,
TXN-1028, john doe , North ,200.0,2026-04-01
TXN-1029,Alice Johnson,,,
TXN-1030,Alice Johnson,WEST,450.75,2026-04-01
TXN-1031,JANE SMITH,north,150.5,2026-04-01
TXN-1032,bob brown,north,150.5,2026/03/10
TXN-1033,bob brown,East,1200.0,2026-04-01
TXN-1034,  charlie green , North ,,02/20/2026
TXN-1035,  charlie green , North ,,2026/03/10
TXN-1036,  charlie green ,East,1200.0,2026-04-01
TXN-1037,Alice Johnson,East,450.75,2026-01-15
TXN-1038,bob brown,East,,02/20/2026
TXN-1039,bob brown,WEST,150.5,02/20/2026
TXN-1040, john doe ,,150.5,02/20/2026
TXN-1041,Alice Johnson, North ,200.0,2026/03/10
TXN-1042,,WEST,,2026-04-01
TXN-1043,Alice Johnson,East,450.75,2026-04-01
TXN-1044,, North ,1200.0,2026-01-15
TXN-1045, john doe ,WEST,1200.0,2026-01-15
TXN-1046,JANE SMITH,,450.75,02/20/2026
TXN-1047,bob brown,WEST,89.99,2026-01-15
TXN-1048, john doe ,,-50.0,2026/03/10
TXN-1049,bob brown,East,200.0,2026-04-01
TXN-1050,  charlie green ,,1200.0,02/20/2026
TXN-1051,JANE SMITH, North ,,2026-01-15
TXN-1052,JANE SMITH,East,200.0,2026/03/10
TXN-1053, john doe , North ,,2026/03/10
TXN-1054,JANE SMITH,north,89.99,2026-01-15
TXN-1055,,south,150.5,2026-04-01
TXN-1056,JANE SMITH,,200.0,2026-01-15
TXN-1057,bob brown,south,1200.0,02/20/2026
TXN-1058,bob brown,south,200.0,2026-01-15
TXN-1059,bob brown,,200.0,2026/03/10
TXN-1060,bob brown,East,200.0,2026-01-15
TXN-1061,,north,-50.0,2026-04-01
TXN-1062,Alice Johnson, North ,200.0,
TXN-1063,  charlie green ,WEST,,2026-01-15
TXN-1064, john doe , North ,150.5,2026-04-01
TXN-1065,bob brown,WEST,89.99,2026-04-01
TXN-1066,JANE SMITH, North ,450.75,2026/03/10
TXN-1067,bob brown,,200.0,2026-04-01
TXN-1068,JANE SMITH,north,1200.0,2026-04-01
TXN-1069,  charlie green ,WEST,200.0,2026-04-01
TXN-1070,  charlie green ,East,1200.0,2026-04-01
TXN-1071,  charlie green , North ,,02/20/2026
TXN-1072,JANE SMITH, North ,1200.0,02/20/2026
TXN-1073,bob brown,WEST,450.75,2026/03/10
TXN-1074,  charlie green ,East,150.5,2026-01-15
TXN-1075,,East,1200.0,2026-04-01
TXN-1076,JANE SMITH,,1200.0,2026-01-15
TXN-1077,JANE SMITH,,150.5,2026-01-15
TXN-1078,bob brown,,450.75,2026/03/10
TXN-1079,JANE SMITH,,200.0,2026-04-01
TXN-1080,JANE SMITH,,1200.0,2026-04-01
TXN-1081,  charlie green ,,150.5,
TXN-1082,bob brown,north,,2026-01-15
TXN-1083,  charlie green ,East,150.5,2026-01-15
TXN-1084,  charlie green ,,,02/20/2026
TXN-1085,bob brown,East,450.75,
TXN-1086, john doe ,East,200.0,02/20/2026
TXN-1087,  charlie green ,south,150.5,02/20/2026
TXN-1088,,north,89.99,02/20/2026
TXN-1089,,,89.99,2026/03/10
TXN-1090,JANE SMITH, North ,-50.0,2026/03/10
TXN-1091,,WEST,1200.0,02/20/2026
TXN-1092,JANE SMITH, North ,450.75,
TXN-1093, john doe ,north,150.5,2026-01-15
TXN-1094,bob brown,WEST,89.99,
TXN-1095,bob brown,north,1200.0,2026-04-01
TXN-1096,bob brown,East,89.99,2026/03/10
TXN-1097,,WEST,150.5,2026-01-15
TXN-1098, john doe ,East,,2026-01-15
TXN-1099,, North ,150.5,2026-04-01
TXN-1100,, North ,-50.0,2026-04-01
TXN-1101, john doe ,WEST,150.5,02/20/2026
TXN-1102, john doe ,WEST,150.5,2026/03/10
TXN-1103, john doe ,,-50.0,2026/03/10
TXN-1104, john doe ,north,450.75,
TXN-1105,bob brown,,150.5,02/20/2026
TXN-1106,Alice Johnson,north,-50.0,02/20/2026
